Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
219,Vincent Janssen,nl NED,FW,Tottenham,24,1994,3,0,39,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,0,6,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.86,0.86,0.86,Matches,31dce0c8
220,Carl Jenkinson,eng ENG,DF,Arsenal,26,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,874125a3
221,Gabriel Jesus,br BRA,FW,Manchester City,21,1997,29,8,1036,11.5,7,3,10,6,1,1,1,0,11.2,10.5,2.3,12.7,35,21,128,0.61,0.26,0.87,0.52,0.78,0.97,0.20,1.17,0.91,1.11,Matches,b66315ae
222,Raúl Jiménez,mx MEX,FW,Wolves,27,1991,38,36,3111,34.6,13,7,20,11,2,2,4,0,15.1,13.6,6.3,19.8,76,82,236,0.38,0.20,0.58,0.32,0.52,0.44,0.18,0.62,0.39,0.57,Matches,b561db50
223,Stefan Johansen,no NOR,MF,Fulham,27,1991,12,4,417,4.6,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.1,3,36,15,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,a48da055
224,Ben Johnson,eng ENG,DF,West Ham,18,2000,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9319781b
225,Tyreke Johnson,eng ENG,MF,Southampton,19,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4701e130
226,Phil Jones,eng ENG,DF,Manchester Utd,26,1992,18,15,1263,14.0,0,1,1,0,0,0,1,0,0.4,0.4,0.5,1.0,11,35,2,0.00,0.07,0.07,0.00,0.07,0.03,0.04,0.07,0.03,0.07,Matches,def899bd
227,Jorginho,it ITA,MF,Chelsea,26,1991,37,37,3156,35.1,2,0,2,1,1,1,8,0,1.4,0.6,3.2,3.8,30,323,46,0.06,0.00,0.06,0.03,0.03,0.04,0.09,0.13,0.02,0.11,Matches,45db685d
228,Joselu,es ESP,FW,Newcastle Utd,28,1990,16,5,596,6.6,2,0,2,2,0,0,1,0,1.6,1.6,0.0,1.6,4,8,28,0.30,0.00,0.30,0.30,0.30,0.24,0.00,0.25,0.24,0.25,Matches,6265208f
229,Diogo Jota,pt POR,FWMF,Wolves,21,1996,33,29,2355,26.2,9,5,14,9,0,0,11,0,8.8,8.8,5.3,14.0,125,71,182,0.34,0.19,0.54,0.34,0.54,0.34,0.20,0.54,0.34,0.54,Matches,178ae8f8
230,Mathias Jørgensen,dk DEN,DF,Huddersfield,28,1990,24,24,2147,23.9,3,1,4,3,0,0,6,0,1.4,1.4,0.3,1.7,21,93,6,0.13,0.04,0.17,0.13,0.17,0.06,0.01,0.07,0.06,0.07,Matches,0db5d2c8
231,Christian Kabasele,be BEL,DF,Watford,27,1991,21,19,1586,17.6,0,0,0,0,0,0,4,1,1.5,1.5,0.6,2.1,1,25,1,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,Matches,914ab9a1
232,Elias Kachunga,cd COD,FWMF,Huddersfield,26,1992,20,13,1182,13.1,0,0,0,0,0,0,2,0,0.9,0.9,0.2,1.1,29,22,66,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Matches,5bddccc9
233,Aboubakar Kamara,mr MTN,FW,Fulham,23,1995,13,5,693,7.7,3,0,3,2,1,2,2,0,3.7,2.1,0.7,2.8,24,6,93,0.39,0.00,0.39,0.26,0.26,0.48,0.09,0.57,0.27,0.36,Matches,4047c976
234,Harry Kane,eng ENG,FW,Tottenham,25,1993,28,27,2424,26.9,17,4,21,13,4,4,5,0,14.4,11.3,4.0,15.3,59,80,194,0.63,0.15,0.78,0.48,0.63,0.54,0.15,0.68,0.42,0.57,Matches,21a66f6a
235,N'Golo Kanté,fr FRA,MF,Chelsea,27,1991,36,36,3092,34.4,4,4,8,4,0,0,3,0,2.9,2.9,3.5,6.4,82,178,159,0.12,0.12,0.23,0.12,0.23,0.09,0.10,0.19,0.09,0.19,Matches,b9fbae28
236,Beram Kayal,il ISR,MF,Brighton,30,1988,18,9,940,10.4,1,1,2,1,0,0,4,0,0.4,0.4,1.1,1.5,16,32,11,0.10,0.10,0.19,0.10,0.19,0.04,0.11,0.14,0.04,0.14,Matches,26679cdf
237,Michael Keane,eng ENG,DF,Everton,25,1993,33,33,2969,33.0,1,2,3,1,0,0,2,0,2.3,2.3,1.4,3.8,11,113,2,0.03,0.06,0.09,0.03,0.09,0.07,0.04,0.11,0.07,0.11,Matches,c5b7c315
238,Neeskens Kebano,cd COD,FWMF,Fulham,26,1992,7,0,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,4,17,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,18b999f4
